Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
28-01-2018,INDIAN RAILWAY CATERINGNEW,1099,0,INR,Rahul,Domestic,DELHI
28-01-2018,FLIPKART INTERNET PRIVA,34980,0,INR,Rahul,Domestic,BANGALORE
28-01-2018,TIPSY CATERERS,660,0,INR,Rahul,Domestic,JAIPUR
29-01-2018,MAKEMYTRIP INDIA PVT LT NEW,57181,0,INR,Rahul,Domestic,DELHI
29-01-2018,INDIAN RAILWAY CATERINGNEW,0,3390,INR,Rahul,Domestic,DELHI
29-01-2018,MAKEMYTRIP INDIA PVT LT NEW,0,53326,INR,Rahul,Domestic,DELHI
30-01-2018,INDIAN RAILWAY CATERING NEW,0,680,INR,Rahul,Domestic,DELHI
13-01-2018,SRILANKANUPGRADE,9,0,EUR,Rahul,International,KATUNAYAKE
14-01-2018,HEALTHGUARD LIMITED,0,6,USD,Rahul,International,KATUNAYAKE
17-01-2018,FOOT RUB,19,0,EUR,Rahul,International,BERLIN
28-01-2018,California Games,108,0,USD,Rahul,International,CALIFORNIA
30-01-2018,NewYorkShop,219,0,USD,Rahul,International,NEWYORK
03-02-2018,EURO WINGS,8,0,EUR,Rahul,International,DUSSELDOR
